Marca temporal;1. indique por  favor su género;;;;;;;;;;;
;"2. Indique por favor su nivel educativo:""";3. Por favor indique su profesión:;4. Por favor indicar el municipio y departamento en el cual reside. ;5.¿Cuál fue su  intención al terminar el pregrado?;6. Le gustaría estudiar una  Especialización en Industria 5.0.;7. Si su respuesta es No, que otro posgrado le gustaría estudiar? ;8. ¿Cuál sería su limitante para cursar la Especialización en Industria 5.0 ?;9.  Si su respuesta es sí, ¿En qué modalidad le gustaría estudiar el programa?;10. ¿Cómo consideras el valor de la matrícula para estudios de posgrado?;11. En el siguiente espacio puedes expresar algún comentario adicional sobre el tema abordado;12.¿Desea que le llegue información del posgrado a el correo electrónico que suministro?;
2024/11/05 2:40:13 p. m. GMT-5;Masculino;Pregrado;Ing Mecatronico;Bogotá D.C.;las dos anteriores;Sí;;Dinero;Diurno;Me parece un buen precio;;Sí
2024/11/05 2:54:33 p. m. GMT-5;Masculino;Pregrado;Ingeniería mecatrónica;Manizales, caldas;las dos anteriores;Sí;;Dinero;Nocturno;No estoy seguro/a;;Sí
2024/11/05 2:54:55 p. m. GMT-5;Femenino;Pregrado;Ingeniera mecatrónica ;Villamaría,  Caldas ;las dos anteriores;Sí;;Dinero;Nocturno;Me parece un buen precio;;Sí
2024/11/05 2:59:51 p. m. GMT-5;Masculino;Pregrado;Ingeniero Mecatrónico;Manizales - Caldas;las dos anteriores;Sí;;Tiempo;Nocturno;Me parece un buen precio;;Sí
2024/11/05 3:01:37 p. m. GMT-5;Masculino;Pregrado;Ingeniero mectarónico;Manizales, Caldas;las dos anteriores;Sí;;Trabajo;Presencial con mediación TIC;No estoy seguro/a;Que tenga facilidad para realizarlo virtual/presencial;Sí
2024/11/05 4:40:45 p. m. GMT-5;Masculino;Pregrado;Ingeniero de software;Manizales, Caldas;las dos anteriores;Sí;;Dinero;Nocturno;No estoy seguro/a;;Sí
2024/11/05 6:56:40 p. m. GMT-5;Masculino;Pregrado;ingenieria mecatronica;manizales;las dos anteriores;Sí;;Dinero;Diurno;No estoy seguro/a;;Sí
2024/11/05 7:38:31 p. m. GMT-5;Masculino;Pregrado;ingeniero mecatronico;Yopal-casanare;Empezar a trabajar;Sí;;Desplazamiento;Nocturno;Me parece un buen precio;;Sí
2024/11/05 9:20:57 p. m. GMT-5;Femenino;Pregrado;Ingeniera mecatrónica ;Zipaquirá ;Continuar con estudios de posgrado para mi crecimiento profesional;Sí;;Desplazamiento;Nocturno;Me parece un buen precio;;Sí
2024/11/05 11:02:36 p. m. GMT-5;Masculino;Pregrado;Ingeniero Mecatrónico;Manizales;las dos anteriores;Sí;;Tiempo;Presencial con mediación TIC;No estoy seguro/a;;Sí
2024/11/06 5:11:09 a. m. GMT-5;Masculino;Pregrado;Ingeniería mecatrónica ;La Dorada Caldas;las dos anteriores;Sí;;Desplazamiento;Nocturno;No estoy seguro/a;;Sí
2024/11/06 11:03:09 p. m. GMT-5;Masculino;Pregrado;Ingeniero mecatrónico ;Manizales Caldas ;las dos anteriores;Sí;Energías renovables ;Dinero;Nocturno;Me parece caro;Deberían hacer un generoso descuento para egresados de ingeniería mecatrónica de la universidad de Caldas y que se pueda ver de manera presencial y virtual como lo hacen las universidades europeas como UDIMA o Unir ;Sí
